,x,y_lower,y,y_upper
52,5200.0,0.303,0.421,0.6575
53,5300.0,0.295,0.426,0.552
54,5400.0,0.2665,0.39,0.6094999999999999
55,5500.0,0.244,0.388,0.6194999999999999
56,5600.0,0.28099999999999997,0.368,0.532
57,5700.0,0.292,0.374,0.5025
58,5800.0,0.3345,0.489,0.6755
59,5900.0,0.3055,0.529,0.9315
60,6000.0,0.3475,0.56,1.0
61,6100.0,0.34299999999999997,0.5660000000000001,0.955
62,6200.0,0.431,0.653,1.0
63,6300.0,0.314,0.442,0.626
64,6400.0,0.34349999999999997,0.5589999999999999,0.9105000000000001
65,6500.0,0.406,0.572,0.864
66,6600.0,0.3125,0.433,0.6785
67,6700.0,0.351,0.505,0.792
68,6800.0,0.351,0.597,1.0
69,6900.0,0.3875,0.664,1.0
70,7000.0,0.483,0.802,1.0
71,7100.0,0.449,0.768,1.0
72,7200.0,0.374,0.582,1.0
73,7300.0,0.456,0.773,1.0
74,7400.0,0.3235,0.625,1.0
75,7500.0,0.4155,0.775,1.0
76,7600.0,0.4165,0.666,1.0
77,7700.0,0.373,0.49,0.766
78,7800.0,0.3175,0.40800000000000003,0.652
79,7900.0,0.34149999999999997,0.46,0.6405000000000001
80,8000.0,0.2865,0.432,0.629
81,8100.0,0.474,0.617,0.9504999999999999
82,8200.0,0.354,0.486,0.767
83,8300.0,0.5385,0.868,1.0
84,8400.0,0.5255000000000001,0.733,1.0
85,8500.0,0.4215,0.721,1.0
86,8600.0,0.4635,0.789,1.0
87,8700.0,0.5934999999999999,0.993,1.0
88,8800.0,0.4455,0.85,1.0
89,8900.0,0.7025,1.0,1.0
90,9000.0,0.6205,0.968,1.0
91,9100.0,0.5055000000000001,1.0,1.0
92,9200.0,0.522,0.821,1.0
93,9300.0,0.4125,0.627,1.0
94,9400.0,0.3455,0.433,0.655
95,9500.0,0.3615,0.632,1.0
96,9600.0,0.356,0.68,1.0
97,9700.0,0.5665,0.778,1.0
98,9800.0,0.5885,0.917,1.0
99,9900.0,0.5914999999999999,1.0,1.0
100,10000.0,0.5335000000000001,0.972,1.0
101,10100.0,0.4325,0.782,1.0
102,10200.0,0.375,0.601,0.957
103,10300.0,0.433,0.732,1.0
104,10400.0,0.4095,0.779,1.0
105,10500.0,0.46399999999999997,0.727,1.0
106,10600.0,0.5475000000000001,0.974,1.0
107,10700.0,0.422,0.618,1.0
108,10800.0,0.663,1.0,1.0
109,10900.0,0.6765000000000001,1.0,1.0
110,11000.0,0.591,1.0,1.0
111,11100.0,0.5665,0.911,1.0
112,11200.0,0.7004999999999999,1.0,1.0
113,11300.0,0.6465000000000001,1.0,1.0
114,11400.0,0.428,0.571,1.0
115,11500.0,0.4965,0.79,1.0
116,11600.0,0.5875,0.916,1.0
117,11700.0,0.592,0.92,1.0
118,11800.0,0.477,0.825,1.0
119,11900.0,0.4935,0.726,1.0
120,12000.0,0.455,0.659,1.0
121,12100.0,0.484,0.729,1.0
122,12200.0,0.421,0.727,1.0
123,12300.0,0.7905,1.0,1.0
124,12400.0,0.9524999999999999,1.0,1.0
125,12500.0,1.0,1.0,1.0
126,12600.0,1.0,1.0,1.0
127,12700.0,0.783,1.0,1.0
128,12800.0,0.579,0.922,1.0
129,12900.0,0.4855,0.931,1.0
130,13000.0,0.5235000000000001,1.0,1.0
131,13100.0,0.6645000000000001,0.996,1.0
132,13200.0,0.817,1.0,1.0
133,13300.0,0.701,1.0,1.0
134,13400.0,0.517,0.893,1.0
135,13500.0,0.649,1.0,1.0
136,13600.0,0.715,1.0,1.0
137,13700.0,0.6725000000000001,1.0,1.0
138,13800.0,0.58,0.892,1.0
139,13900.0,0.653,1.0,1.0
140,14000.0,0.723,1.0,1.0
141,14100.0,0.8685,1.0,1.0
142,14200.0,0.5885,0.981,1.0
143,14300.0,0.7055,1.0,1.0
144,14400.0,0.504,0.792,1.0
145,14500.0,0.741,1.0,1.0
146,14600.0,0.7695000000000001,1.0,1.0
147,14700.0,0.7095,1.0,1.0
148,14800.0,0.5795,0.908,1.0
149,14900.0,0.5115000000000001,0.81,1.0
150,15000.0,0.765,1.0,1.0
151,15100.0,0.7305,1.0,1.0
152,15200.0,1.0,1.0,1.0
153,15300.0,1.0,1.0,1.0
154,15400.0,0.951,1.0,1.0
155,15500.0,0.4345,0.987,1.0
156,15600.0,0.5045,0.815,1.0
157,15700.0,0.4895,0.838,1.0
158,15800.0,0.5055000000000001,0.766,1.0
