episode,base_score,base_loss,base_length,opt_score,opt_loss,opt_length,duel_score,duel_loss,duel_length,double_score,double_loss,double_length,duel_double_score,duel_double_loss,duel_double_length
13,-69.49089613,9136.867993,66,-186.8156131,8194.665133,110,-199.987302,10664.09973,102,-385.1766189,5420.288868,85,-250.1974357,6205.561464,77
14,-300.9125318,10409.59664,66,-188.7865652,11514.64306,189,-226.3370108,6729.703152,72,-39.11233214,16230.04967,248,-282.6063155,8562.939407,141
15,-303.6197519,11150.56584,97,-150.5046192,8306.518975,132,-199.336047,12420.51996,153,-108.0853081,9289.759315,115,-365.78231,11713.39679,161
16,9.419374767,12531.6339,89,-259.4362584,11137.27657,163,-323.5894785,9689.515447,127,-162.2640363,12465.64832,132,-358.4158022,11994.79504,151
17,-154.0171051,9147.227131,61,-177.9922655,10312.60682,145,-273.7544269,5991.508494,75,-237.8145547,17134.98206,228,-102.4925356,12846.52893,191
18,-76.1646104,5365.969526,60,-153.3064985,9240.199878,155,-216.5891843,12107.82596,148,-290.8780758,11307.19489,152,-195.7883701,6443.991035,97
19,-99.03940297,14710.14557,109,-101.7461382,11426.35403,215,-110.2307665,8841.564895,148,-217.3045698,6021.530996,96,-218.744334,12349.20215,242
20,-81.45936177,13253.53956,59,-87.76445194,9290.112108,114,-198.8305654,10511.8349,139,-112.0036672,18213.95073,332,-210.9484722,7484.78872,116
21,-184.975216,12227.11538,70,-27.16748812,16630.17686,264,-198.5479388,6958.308853,97,-47.695467,18217.12482,270,-117.0496478,6480.859372,103
22,-196.2217964,13711.99905,75,-129.8221796,7615.299543,115,-315.2805972,24235.76629,395,-304.7392347,6983.168174,129,-347.3644471,11330.5849,178
23,-61.7627266,9785.837303,72,-189.6879224,22707.46976,406,-252.0664192,7841.799138,142,-117.8621699,15936.30714,282,-218.9073378,8955.043247,154
24,-119.7187417,9025.659607,88,-162.040986,32863.10261,634,-177.6400516,9287.546782,124,-170.697865,4876.224438,117,-163.1826281,11426.91527,237
25,-202.8764592,17837.60071,105,-146.393339,12340.27298,294,-338.6008498,13060.70909,141,-231.2068921,6091.467883,91,-405.6759663,10034.08116,175
26,-38.57962652,9742.787561,71,-31.27404957,13939.97082,267,-145.2749775,5268.835463,90,-118.8247377,8607.021678,245,-279.5137077,9350.268381,147
27,-364.5138376,10702.97378,91,-229.9289068,14221.58702,233,-463.9237121,17526.19703,363,-60.62406245,16111.61167,362,-88.29461001,39961.47148,781
28,-137.0134554,11300.38318,109,-148.3923142,5794.432054,102,-241.3228764,16117.53562,270,-98.15507135,8863.074123,189,-72.18560758,14268.48505,317
29,-329.7316746,10730.96,92,-273.1582399,7631.295771,163,-192.03324,8571.27038,134,-250.061019,10682.43137,281,-296.3609769,8395.691267,205
30,-287.3375279,9580.635848,92,-180.92283,8143.83827,275,-273.5744159,6150.283834,107,-73.38868665,4095.802292,114,-375.4371571,27876.53919,890
31,-92.87094482,10100.32942,87,-223.9853643,6850.878188,138,-356.1855365,5661.874077,97,-291.3507071,16751.35141,381,-100.5076996,5510.266829,121
32,-255.2714267,14704.13237,113,-67.29240711,6646.709458,195,-118.999657,7856.646999,130,-223.4659004,12550.74601,309,-126.8263161,14233.71318,445
33,-173.2293838,16170.48235,83,-90.42252233,6146.47854,179,-306.9223006,6187.679779,123,-121.6614286,39458.78496,1000,-80.40298509,19694.82911,523
34,-61.26415844,13575.70606,96,-477.0999147,6431.801738,185,-353.7436596,5267.453971,88,-151.7341675,10269.27502,226,-224.8488141,20322.13463,519
35,-169.3342849,8898.960726,71,-139.8398638,10706.83472,181,-410.9305317,8045.264913,155,-91.26238997,6804.213838,178,-314.7398394,15162.61635,517
36,-141.5695105,11374.69116,103,-112.4467495,5173.407234,98,-289.3758457,6824.059455,136,-78.96014861,8635.124412,209,-477.3912277,11782.65304,388
37,-143.1885862,8696.586787,102,-190.8819426,6781.720575,165,-119.5471922,5321.128529,137,-205.7119255,10058.60466,273,-72.6591072,4426.007079,185
38,-103.591406,9060.665282,66,-446.5933432,3807.11861,102,-398.5768322,14944.86868,312,-251.3284577,6483.509564,232,-290.7430352,12189.41532,416
39,-209.4004309,12736.73891,86,-149.8169253,7775.077895,169,-161.2727292,11067.84419,177,-44.98550877,6413.763316,192,-205.1366599,13443.851,487
