episode,1000_step_score,1000_step_loss,1000_step_length,500_step_score,500_step_loss,500_step_length,250_step_score,250_step_loss,250_step_length
49,-132.3810772,6108.074222,262,-325.5489921,4935.125034,120,-66.51549847,3799.26157,192
50,-369.9848988,10321.53408,322,-229.4208621,8267.350789,211,-286.3985233,8322.133515,250
51,14.54329778,4870.636097,253,-120.2595074,9341.257654,276,-44.49506811,9159.441756,250
52,-299.1735715,6125.488277,349,-528.2748096,4165.388076,122,-194.9599338,7401.244853,236
53,-4.456000488,5220.50069,238,-121.0500316,3983.216036,120,-130.7810862,3975.910586,137
54,-45.99461654,6991.502956,319,-73.72858834,5165.150766,167,-169.6571348,2096.36867,115
55,-116.3419498,7875.115839,337,-262.7839364,7242.877348,251,-352.003224,4215.782087,206
56,-65.38109642,4550.237669,190,-14.40691768,11711.1853,301,-413.272474,2497.735526,106
57,-36.60559917,6334.001925,378,-300.1057059,4642.855597,190,7.639181321,8529.905921,250
58,-315.1663779,2889.864016,194,-276.373873,5321.706725,136,-26.15668183,5002.511772,250
59,-261.3289596,4956.577184,283,-466.2564648,5763.144439,153,-53.59663462,8676.568924,250
60,-199.3030134,5017.40771,308,-500.6141354,6066.72396,176,-27.14721065,7996.256099,246
61,-82.98434805,4638.258052,238,-422.1194949,7561.643237,239,7.674202876,4837.026134,250
62,-167.3788681,3408.819896,222,-284.6493611,5706.675935,166,-70.61322547,7415.758361,250
63,-84.09382017,7241.508176,295,6.605114712,6579.69388,210,21.89756893,6704.569808,250
64,178.529956,8310.266043,450,-261.5522907,12803.86491,382,-282.0537154,4569.186613,250
65,-181.4262572,4252.032019,294,-452.3802306,9764.014993,316,51.14453135,5794.29734,250
66,-250.7397528,2384.040773,156,-321.3366184,4867.962759,162,-141.1723055,7390.665783,250
